"Case Name","Description","Attorney / Staff Member","Status / Next Steps","Document Type","Deadline","Documents","Lead Plaintiff Counsel?","Status","Tier","Last Updated"
"AILA v. DHS, DCt. DC No 1:20-cv-897-RJL ","Request to ""pause"" visa deadlines. Judge: Richard J Leon. No further activity on PACER as of 4-15-2020.","Submitted by Michael Hethmon ","4-3-2020 case filed; 8/12/20 Text order; 9/18/20 D's motion to ext time granted; ","","","","No","Prospective","","09/22/2020 2:00pm"
"Aker et al v. Trump et al, 1:20-cv-01926 (D.D.C.)","Diversity lottery, Visa Hopefuls, Businesses from over 16 countries Aim To Block Trump's Entry Bans (> 100 litigants). Claims rules also separates families. Related Cases: Gomez v. Trump, 20-cv-01419, Nguyen v. U.S. DHS, 20-cv-718, Mohammed v. Pompeo, 20-cv-01856, Fongjong v. Trump, 20-cv-02128, Kennedy v. Trump, 20-cv-02639 all cases in D.D.C.<br /><br /><br />","John Miano","7/16/20 Complaint; 7/21/20 Amended complaint; 7/24/20 Amended Complaint, Motion for Prelim. Injunct.; 7/27/20 Motion to Stay; 7/31/20 REPLY to opposition to motion; 8/4/20 Order granting D's motion to transfer; 8/7/20 4 cases consolidated to Gomez v. Trump Four actions currently pending before the court involve common questions of law and fact: Gomez v. Trump, 20-cv-1419; Mohammed v. Pompeo, 20-cv-1856; Aker v. Trump, 20-cv-1926; and Fonjong v. Trump, 20-cv-2128. Accordingly, the court orders that the four matters be consolidated pursuant to Federal Rule of Civil Procedure 42(a). It is further ordered that the Clerk's Office close Mohammed v. Pompeo, Aker v. Trump, and Funjong v. Trump, and transfer plaintiffs and counsel in those cases to Gomez v. Trump. It is further ordered that all filings with this Court shall be filed only in Gomez v. Trump, D's Responses due 8/18, Motion Hrg 8/27, status conf. hrg 8/18; ","","","","No","Active","","10/19/2020 11:13am"
"Alasaad v. Wolf, 20-1077 (1st. Cir.),	0:20-civil-01081 (D. Mass.), Orig. case 1:17-cv-11730 (D. Mass.)","A group of advocates suing gov't for warrantless cell phone searches at Southern U.S. border claiming the gov't cannot use the border to circumvent the Constitution. Gov said don't need warrants 1st Cir.<br /><br />","","1/29/20 Complaint; 8/31/20 Arab League amicus; 9/4/20 amicus briefs; 9/30/20 D's Brief; 10/1/20 D's Response & Reply Brief; 10/21/20 P's brief; 10/22/20 D's Reply brief; 2/9/21 Judgment district court is affirmed in part, reversed in part, and vacated in part, and the matter is remanded for the entry of a revised judgment; ","","","","No","Archive","2","02/10/2021 11:21am"
"Albino-Martinez et al v. Adducci et al (5:20-cv-10893)","TRO for release due to COVID-19 ACLU National Prison Project<br />Related case: Albino-Martinez et al v. Adducci et al (2:20-cv-10893)<br />both Filed: Apr 07, 2020, Judge: Stephen J Murphy, III, Immigration - Habeas Corpus - Alien Detainee, Cause: 28:2241 Petition for Writ of Habeas Corpus (federa","","4/7/2020 case filed","","","","No","Prospective","","04/13/2020 12:16pm"
"Aliens Subject to a Bar on Entry Under Certain Presidential Proclamations, 83 Fed. Reg. 55,934 (Nov. 9, 2018)","","","","","","","No","Archive","",""
"ALLIANCE OF CHRISTIAN LEADERS OF THE EAST VALLEY, ET AL. V. PATRIOT MOVEMENT AZ, ET AL.","6/4/2019 When a group of churches in Phoenix began helping immigrants released from the custody of Immigration and Customs Enforcement (ICE), two Arizona-based groups – including an SPLC-designated hate group – began threatening the churches and harassing the pastors and project volunteers. The SPLC filed a lawsuit to stop the intimidation campaign.","","1/24/2020 ORDERED vacating the Rule 16 Scheduling Conference set for 2:00 PM on February 10, 2020.","","","","No","Prospective","","04/23/2020 10:56am"
"Al-Mowafak, et al. v. Trump, et al., 3:17-00557 (U.S.D.C. N.D.CA)","1/2/2020 Change in Counsel<br />Travel Ban Case","","Second Amend Cmplt and Mtn Prelim Injunc filed 12/8/17; Order granting Stay on 1/22/19; Case Mgmt Conf scheduled for 5/21/19","","","","No","Prospective","2","04/20/2020 1:42pm"
"Al Otro Lado v. McAleenan (Wolf), 20-56287 (9th Cir.), 3:17-cv-02366 (S.D. Cal.) ","Immigrants suing the federal government for not being allowed to apply for asylum at the U.S.-Mexico border can proceed as a class, finding that their claims meet the criteria for class certification. Original Case: 3:17-cv-02366<br /><br />","John Miano","12/5/19 Complaint; 2/11, 12, 13, 19/20 >18 amicus briefs; 4/28/20 Oral arguments 7/10/20; 8/6/20 Pet's can proceed as class action; 8/7/20 Order granting ext to file discovery 8/18; 8/10/20 Reply to Motion; 8/24/20 Grant Joint Motion; 8/31/20 D's response in support; 9/4/20 SJ Motion; 9/21/20 Ex Parte Motion; 9/29/20 Order; 10/5/20 Response in Opp.; 10/12/20 Emergency Motion to protect prelim. Injunct.; 10/26/20 Order ext time; 11/23/20 Response in support of motion; 11/24/20 Order Grant Joint Motion; 12/4/20 USCA Case Number 20-56287 D's Notice of Appeal to the 9th Circuit; 12/18/20 Notice of Appeal; 1/5/21 Response in Opp. Reply; 1/13/21 Response in Opp.; 1/18/21 Order Granting P's TRO; 1/29/21 Joint MOTION to Convert TRO to Preliminary Injunction and Vacate Hrg.; 2/18/21 Response; 2/22/21 Response to Motion; 3/8/21 Resp. in Opp.; 3/15/21 Reply; 3/29/21 Order grant in part/deny in part motion for sanctions; 4/1/21 Joint Motion to Amend Reply/Response; 7/2/21 Responses in support and opp. to motion; 8/11/21 SJ hrg 8/31; 8/20/21 Order for suppl. briefing; 8/24/21 Motion for Court oversight on Pre Injunc Motion; 8/25/21 Suppl. briefing; 8/31/21 Motion Hrg; 9/10/21 Response in Opp.; 9/15/21 Response in Opp.; 9/22/21 Reply to Response motion; 9/24/21 ORDER: (1) Deny as Moot Ps' Motion to Enforce Prelim Injunct, (2) Deny as Moot Ps' Motion For Oral Arg, Grant Ps' Motion for Discovery, & (4) Grant Motions to Seal; 10/1/21 D's supplemental briefing; 10/13/21 D's Response; 10/25/21 Response; 11/2/21 Notice of Admin Action; 11/18/21 Joint MOTION to Allow the Gov Until 11/29 File Opp. Ps' Discovery Requests; 11/22/21 Order setting aside time for Gov to respond by 11/29; 11/29/ Response; 12/10/21 Joint MOTION to Set Briefing Schedule; 12/13/21 Order Setting Briefing Schedule: P's Ex Parte App. Injunct. Relief. D's Opp by 12/14, P's Reply 12/17; 12/14/21 Response; 12/20/21 P's Notice; 12/21/21 Order term P's Emerg. motion as moot; 1/25/22 Order re P's discovery requests; 3/16/22 Order: (1) Denying w/o Prejudice Motion for Court Oversight (ECF No.736 ); and (2) Directing Parties to Submit Joint Status Report by 4/1/22; 5/20/22 File clerk order, suppl brief filed; 5/23/22 Appee/App supp. briefs filed; <br /><br />9th Cir. 5/26/22 D's Notice of Appeal filed, In response to the parties' recent filings, the USCA informs the parties that, in light of the interrelated issues presented by the two appeals, it will re-submit appeal No. 19-56417 for consideration and decision once briefing is complete and oral argument is held in appeal No. 20-56287; 6/14/22 NOTICE of Binding, Intervening Supp. Authority; 6/21/22 Response; 6/23/22 ORDER RE: Notice of Supplemental Authority and Response; 6/28/22 Order deny motion to ext.; 6/29/22 P and D suppl. briefs; 8/16/22 Appelle's motion to dismiss; 8/22/22 motion to dismiss the appeal as moot is GRANTED. Appellants? response due 9/13; 9/9/22 Motion to file resp. ext. to 9/20; <br />","motion to dismiss the appeal as moot is GRANTED. Appellants? response due 9/20","09/20/2022","","No","Active","","09/13/2022 2:04pm"
"Alvarez, et al. v. Trump, et al., 1:19-00404 (D.D.C.)","Violation of the National Emergencies Act","CJH; Co-counsel/Lead is Larry Joseph, Law Office of Lawrence J. Joseph","Complaint filed 2/15/19; Def Trump filed MTD 4/2/19; Pltfs' Notice of Voluntary Dismissal filed 4/22/19<br /><br />IRLI filed Amicus Brief 4/9/19<br /><br />*IRLI closed file as of 4/24/19","Deadline for filing Amicus Brief (self-imposed)","04/09/2019","","No","Archive","1","04/24/2019 9:44am"
"Amaya Aleman v. Lowe et al (3:20-cv-00448)","Courts > Pennsylvania Middle District Court<br />Filed: Mar 16, 2020<br />Judge: Joseph F Saporito, Jr<br />Nature of Suit: Immigration - Habeas Corpus - Alien Detainee<br />Cause: 28:2241 Petition for Writ of Habeas Corpus (IMMIGRATION)","","","","","","No","Prospective","","04/10/2020 12:34pm"
"Amaya-Cruz et al v. Detroit District Director of U.S. Immigration & Customs Enforcement et al (1:20-cv-00789)","4-10-2020 ACLU filed lawsuit to release Petitioner from ICE custody due to fear of COVID-19. Judge: Dan Aaron Polster. Immigration - Habeas Corpus - Alien Detainee<br />Cause: 28:2241 Petition for Writ of Habeas Corpus (federal)<br />4-10-2020Motion for temporary restraining order filed by Romel Amaya-Cruz, Jonas Nsongi Mbonga, Elvira Pascalenco, Hector Manuel Reyes Cruz.(Levenson, Freda)","","4-14-2020 Defendants must file, a concise brief responding to Plaintiffs' allegations and the TRO Motion. The Court will hold a recorded telephonic conference with counsel and clients beginning at 9:30 a.m. on Wednesday, April 15, 2020. The Court will email call-in instructions to counsel.The Court hereby DIRECTS Defendants to investigate and file, no later than 4:00 p.m. on Tuesday, April 14, 2020, a concise brief responding to Plaintiffs' allegations and the TRO Motion. The Court will hold a recorded telephonic conference with counsel and clients beginning at 9:30 a.m. on Wednesday, April 15, 2020. The Court will email call-in instructions to counsel. Signed by Judge Dan Aaron Polster on 4/11/2020.","","","","No","Prospective","","04/13/2020 11:58am"
"American Immigration Council v. Exec. Office for Immigration Review, 1:20-cv-03148 (D.D.C.)","DOJ Accused Of Hiding 'Secretive' Immigration Court Plans. Filed by AMERICAN IMMIGRATION COUNCIL, AMERICAN IMMIGRATION LAWYERS ASSOCIATION, CHICAGO CHAPTER, AMERICAN IMMIGRATION LAWYERS ASSOCIATION.<br /><br /> ","","10/30/2020 Complaint; 8/8/21 set/reset deadlines D's answer complaint by 9/6; 9/4/21 Answer; 11/22/21 Next JSR 1/18/22; 1/18/22 Status rpt.; Next status rpt 2/17/22; 2/18/22 Next Status rpt 4/19/22; 4/18/22 JSR; 6/17/22 JSR; 6/28/22 minute order; 7/18/22 JSR due 9/16; ","JSR","09/16/2022","","No","Prospective","","07/20/2022 5:35pm"
"American Immigration Lawyers Association, et al. v. Cuccinelli, et al., 1:19-02835 (D.D.C.)","Public Charge Rule - While multiple lawsuits challenging the substance of the regulations remain pending, this lawsuit challenges a separate unlawful agency action: Defendants’ failure to allow non-citizens and employers to file applications and petitions for immigration benefits through its refusal to accept certain current, unexpired forms on or after October 15, 2019, despite withholding of the alleged new forms necessary to submit applications and petitions for immigration benefits after such date","","12/10/2019 Case dismissed w/o Prejudice. STIPULATION of Dismissal Joint by KENNETH CUCCINELLI, U.S. CITIZENSHIP AND IMMIGRATION SERVICES. (Berman, Keri). <br />Complaint, Mtn TRO, Mtn Prelim Injunc filed 10/7/19; Ct Order Re order granting PI in Make the Road New York v. Cuccinelli, 19-7993, enjoining the defendants in that case from ""implementing, considering in connection with any application, or requiring the use of any new or updated forms whose submission would be required under"" the Final Rule of the Department of Homeland Security titled ""Inadmissibility on Public Charge Grounds,""; as well as the PI ordered in City and County of San Francisco v. U.S. Citizenship and Immigration Services, 19-4717, State of California v. U.S. Department of Homeland Security, 19-4975, La Clinica de la Raza v. Donald J. Trump, 19-4980;<br />Parties in this case shall alert the Court if and when the above-referenced orders are terminated; 7/23/20 Joint Status Rpt due 8/4/20; ","","","","No","Prospective","2","08/05/2020 11:51am"
"American Tech Vision Solutions, LLC v. U.S. CIS, 1:19-00730 (D.D.C.)","Administrative Procedure Act<br /><br />*Related case is ITServe Alliance, Inc. v. U.S. CIS, 1:18-02350","","5/3/2019 MINUTE ORDER accepting9 Stipulation of Dismissal under Federal Rule of Civil Procedure 41(a)(1)(A)(ii). The complaint is dismissed without prejudice.<br />*See current Briefing Schedule in ITServe Alliance, Inc. v. USCIS for status updates<br /><br />Complaint filed 3/15/19","","","","No","Prospective","2","09/09/2020 2:50pm"
"AMICUS INVITATION (Arriving Alien), Due Date: January 4, 2021","file amicus curiae briefs discussing the below issues: <br />1. Is an alien who has come approximately 50 miles into the United States still an alien who is ""arriving"" under section 235(b)(2)(C) of the Immigration and Nationality Act, such that he or she may be returned to contiguous territory pending a proceeding under section 240 of the Act? In other words, has such an alien exceeded the temporal or geographic limit to the application of the ""arriving"" language in section 235(b)(2)(C) of the Act? See Matter of M D C V, 28 I&N Dec. 18 at 23 (BIA 2020). <br />2. Is the distinction in prior law between exclusion and deportation proceedings relevant to this issue? E.g., Matter of Z, 20 I&N Dec 707 (BIA 1993).<br />","IRLI, AUSA","Filed 12/4/20 due 1/4/2021","AMICUS INVITATION (Arriving Alien), Due Date: January 4, 2021","01/04/2021","","No","Archive","","04/08/2021 10:17am"
"Annunciation House v. Abbott, EP-21-CV-173-KC (3:21-cv-00178) (W.D. Tex. El Paso)","ACLU sues Texas challenging its governor's order restricting the ground transportation of migrants detained at the border just days after the Biden administration won an injunction blocking it from taking effect. <br /><br />If Texas Gov. Greg Abbott's executive order GA-37 is allowed to stand, activists told a federal court Wednesday that anyone traveling through the Lone Star State will be subjected ""to a unilateral state immigration enforcement regime in direct conflict with federal law."" ACLU Immigrants' Rights Project atty Spencer Amdur said that the advocacy groups are challenging the order ""because it is illegal and inhumane.""<br /><br />","Gina D'Andrea","8/4/21 Complaint in Judge Cardone's court again; 8/9/21 MOTION to Expedite Consideration of Plaintiffs Motion for Preliminary Injunction; 8/26/21 Reply to Response; 8/27/21 ORDER GRANTING5 Motion to Consolidate Cases. Accordingly, it is hereby ORDERED EP-21-CV-173-KC and EP-21-CV-178-KC be CONSOLIDATED into case EP-21-CV-173-KC; 3/17/22 Ps' plan to appeal to 5th Circuit; 6/16/22 Appees' brief; ","","","","No","Active","","06/17/2022 2:00pm"
"Anunciato v. Trump, 3:20-cv-07869 (N.D. Cal.) ","Lawsuit seeking to end Trump's restriction of immigration proclamation in the name of protecting U.S. workers who lost their jobs as a result of disruption caused by COVID. Prospective case only<br /><br />","","11/9/20 Complaint; 11/30/20 Denied TRO motion; 12/11/20 Opp./Resp.; 12/30/20 D's Opp./Resp.; 1/22/20 Ct to issue order re class cert.; 2/9/21 Letter re: Pres. Biden order; 2/10/21 Order granting stipulation; 2/19/21 Answer; 2/22/21 Order granting admin. motion; 2/25/21 Admin Motion on Jurisd.; 3/2/21 Opp/Response; 3/8/21 Status Rpt, Reply;  3/15/21 Status Conf.; 3/16/21 Order; 3/26/21Order ext time for Motion to Dismiss; 4/30/21 Motion to dismiss, hrg 6/10; 5/4/21 Motion to Dismiss for mootness; 5/13/21 Opp. Response; 5/26/21 Reply to Opp/Response; 7/23/21 Case declared moot and dismissed. ","","","","No","Archive","","07/26/2021 11:15am"
"A.O., et al. v. Cuccinelli, et al., 5:19-06151 (U.S.D.C. N.D.CA)","Class action suit seeks to challenge the federal government’s unlawful refusal to provide humanitarian relief in the form of Special Immigrant Juvenile Status (“SIJS”) to abandoned, abused, or neglected immigrant children between the ages of 18 and 20, who have been declared dependent on the juvenile court under Section 300 of the California Welfare and Institutions Code, such as children in foster care","","Complaint filed 9/27/19; Pltfs filed Mtn Preliminary Injunction 10/4/19; Defs' Opp to be filed by 11/13/19 (based on Defs' Appearance filed 10/30/19); Pltfs' Reply due within 7 days; Hearing on PI Mtn set for 12/19/19<br /><br />10/16 & 10/21/19 - emailed to Chris and Mike to consider - IRLI not interested in submitting a brief at this time","","","","No","Prospective","2","11/06/2019 1:13pm"
"Arab American Civil Rights League, et al. v. Trump, et al., 2:17-10310 (U.S.D.C. E.D.MI)","Civil rights challenge to Trump Refugee/Visa Order - Proclamation No. 9645, claiming the proclamation violates (1) the Establishment Clause of the 1st Amendment; (2) the Equal Protection Component of the 5th Amendment's Due Process Clause; (3) their 1st Amendment Rights to Freedom of Speech and Association","","11/26/2019 ORDER from U.S. Court of Appeals - Sixth Circuit [Appeal Case Number 19-114] (SKra)<br />Third Amended Cmplt filed 9/13/18; DistCt Order denying Defs' MTD Third Amend Cmplt 7/10/19; Defs' Answer to Amend Cmplt filed 7/31/19; Ct granted Defs' Mtn Certify Order for Interlocutory Appeal, denied Stay of Discovery Pending Appeal 11/1/19<br /><br />IRLI to monitor appeal for assignment of case no. and briefing schedule","","","","No","Prospective","2","04/20/2020 1:53pm"
"Arias Reyes v. United States Citizenship and Immigration Services, 2:20-cv-00715-JLR ","Salvadoran doctor files suit after Green Card denied. Judge James L. Robart. Seattle Times article 5/13/20. NWIRP claims USCIS is misinterpreting law. 5/28/20 Case dismissed w/o Prejudice","","5/12/20 Complaint filed by Northwest Immigrant Rights Project (NWIRP); Summons (es) issued to D's. ","","","","No","Prospective","","05/29/2020 4:54pm"
"ARISTOTELES SANCHEZ MARTINEZ, ET AL. V. MICHAEL DONAHUE, ET AL. 	7:20-cv-00062","4/13/2020  ORDER granting Motion for Leave to Proceed under Pseudonyms<br />4/10/2020 Telephone Conference held on 4/10/2020<br />4/7/2020 Complaint filed SPLC seeking the immediate release of people with preexisting health conditions held at two south Georgia immigration detention centers, where they are at greater risk of contracting the virus that causes the disease.","","","","","","No","Prospective","","06/03/2021 10:26am"
